start_times,daily_obs_effs,daily_total_times,daily_survey_times
2024-06-27 00:38:00.000,30.54678113000891,20431.503070152412,14731.50307015241
2024-06-28 00:10:00.000,31.19097609312891,20247.249684537157,14427.249684537155
2024-06-29 01:26:00.000,30.546781130008995,20431.503070152372,14731.50307015237
2024-06-30 00:58:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-07-01 00:32:00.000,31.190976093128942,20247.249684537142,14427.24968453714
2024-07-02 00:06:00.000,31.19097609312891,20187.249684537157,14427.249684537155
2024-07-03 01:20:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-07-04 00:54:00.000,30.861016030722393,20461.50307015237,14581.503070152368
2024-07-05 00:26:00.000,31.190976093128903,20307.24968453716,14427.249684537159
2024-07-06 00:00:00.000,31.19097609312893,20247.249684537146,14427.249684537144
2024-07-07 01:14:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-07-08 00:48:00.000,31.190976093128985,20247.24968453712,14427.249684537119
2024-07-09 00:22:00.000,31.190976093128903,20187.24968453716,14427.249684537159
2024-07-10 01:36:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-07-11 01:10:00.000,31.190976093129013,20187.24968453711,14427.249684537108
2024-07-12 00:42:00.000,31.19097609312897,20307.249684537128,14427.249684537126
2024-07-13 00:16:00.000,31.190976093128903,20247.24968453716,14427.249684537159
2024-07-14 01:30:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-07-15 01:04:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-07-16 00:38:00.000,31.190976093128945,20187.24968453714,14427.249684537137
2024-07-17 00:10:00.000,31.19097609312891,20307.249684537157,14427.249684537155
2024-07-18 01:26:00.000,30.546781130008995,20491.503070152372,14731.50307015237
2024-07-19 00:58:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-07-20 00:32:00.000,31.190976093128942,20247.249684537142,14427.24968453714
2024-07-21 00:06:00.000,31.19097609312891,20187.249684537157,14427.249684537155
2024-07-22 01:20:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-07-23 00:54:00.000,31.190976093129013,20187.24968453711,14427.249684537108
2024-07-24 00:26:00.000,31.190976093128903,20247.24968453716,14427.249684537159
2024-07-25 01:40:00.000,31.190976093129034,20307.2496845371,14427.249684537097
2024-07-26 01:14:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-07-27 00:48:00.000,31.190976093128985,20247.24968453712,14427.249684537119
2024-07-28 00:22:00.000,31.190976093128903,20187.24968453716,14427.249684537159
2024-07-29 01:36:00.000,31.190976093129013,20187.24968453711,14427.249684537108
2024-07-30 01:08:00.000,31.190976093129013,20307.24968453711,14427.249684537108
2024-07-31 00:42:00.000,31.19097609312897,20247.249684537128,14427.249684537126
2024-08-01 00:16:00.000,31.190976093128903,20187.24968453716,14427.249684537159
2024-08-02 01:30:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-08-03 01:04:00.000,31.190976093129013,20187.24968453711,14427.249684537108
2024-08-04 00:36:00.000,31.190976093128945,20307.24968453714,14427.249684537137
2024-08-05 00:10:00.000,31.19097609312891,20247.249684537157,14427.249684537155
2024-08-06 01:24:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-08-07 00:58:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-08-08 00:30:00.000,31.19097609312892,20307.249684537153,14427.249684537152
2024-08-09 00:04:00.000,31.19097609312893,20247.249684537146,14427.249684537144
2024-08-10 01:18:00.000,30.555603363775223,20247.24968453712,14727.249684537119
2024-08-11 00:52:00.000,31.190976093129013,20247.24968453711,14427.249684537108
2024-08-12 00:26:00.000,31.190976093128903,20187.24968453716,14427.249684537159
2024-08-13 01:40:00.000,30.55560336377525,20187.24968453711,14727.249684537106
2024-08-14 01:12:00.000,30.870020733564008,20277.249684537113,14577.249684537112
2024-08-15 00:46:00.000,31.190976093128985,20247.24968453712,14427.249684537119
2024-08-16 00:20:00.000,30.555603363775123,20187.24968453717,14727.249684537168
2024-08-17 01:34:00.000,30.55560336377523,20187.24968453712,14727.249684537117
2024-08-18 01:06:00.000,30.23888097046853,20221.50307015239,14881.503070152386
2024-08-19 00:40:00.000,30.55560336377517,20247.249684537146,14727.249684537144
2024-08-20 00:14:00.000,30.555603363775123,20187.24968453717,14727.249684537168
2024-08-21 01:28:00.000,30.55560336377523,20127.24968453712,14727.249684537117
2024-08-22 01:02:00.000,30.870020733563987,19917.249684537124,14577.24968453712
2024-08-23 00:34:00.000,30.54678113000887,20011.503070152434,14731.50307015243
2024-08-24 00:08:00.000,30.55560336377513,20127.249684537168,14727.249684537164
2024-08-25 01:22:00.000,30.870020733563987,19977.249684537124,14577.24968453712
2024-08-26 00:56:00.000,30.870020733564008,19977.249684537113,14577.24968453711
2024-08-27 00:28:00.000,30.555610576317743,19947.246208222543,14727.24620822254
2024-08-28 00:02:00.000,30.555610576317765,19887.246208222532,14727.246208222528
2024-08-29 01:16:00.000,30.546781130008956,20011.503070152394,14731.50307015239
2024-08-30 00:50:00.000,30.870020733563962,19977.249684537135,14577.249684537132
2024-08-31 00:22:00.000,30.555610576317743,19947.246208222543,14727.24620822254
2024-09-01 01:36:00.000,30.879038627051763,19732.992554430595,14572.992554430592
2024-09-02 01:10:00.000,30.87903862705174,19732.992554430606,14572.992554430602
2024-09-03 00:44:00.000,32.44124928100137,19356.762122017622,13871.229067110384
2024-09-04 00:16:00.000,32.284251267448155,19623.54575131082,13938.684725011104
2024-09-05 01:30:00.000,32.71040144131431,19470.655981690856,13757.09193931308
