Survey start time,Observing efficiency (%),Total time elapsed (s),Survey time (s),Other survey time (s),Deadtime (s),Open-shutter time (s),Slew time (s),Settle time (s),GS acquisition time (s),Dither time (s),Readout time (s)
2024-07-27 00:58:00.000,30.276813343884367,24942.858745697416,14862.858745697415,10080.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-07-28 02:12:00.000,30.276813343884502,25002.85874569735,14862.85874569735,10140.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-07-29 01:46:00.000,30.276813343884406,24942.8587456974,14862.858745697396,10080.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-07-30 01:20:00.000,29.677780921601688,25182.858745697416,15162.858745697415,10020.000000000002,0,4500.0,3669.2587456969954,4230,1410,1350.0,3.6000000000000028
2024-07-31 00:52:00.000,30.276813343884367,25002.858745697416,14862.858745697415,10140.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-01 02:08:00.000,29.677780921601776,25182.85874569737,15162.858745697367,10020.000000000002,0,4500.0,3669.2587456969954,4230,1410,1350.0,3.6000000000000028
2024-08-02 01:40:00.000,30.276813343884392,25002.858745697406,14862.858745697404,10140.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-03 01:14:00.000,30.276813343884367,24942.858745697416,14862.858745697415,10080.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-04 00:48:00.000,29.97430453603429,25212.858745697413,15012.858745697413,10200.0,0,4500.0,3639.2587456969954,4140,1380,1350.0,3.6000000000000028
2024-08-05 02:02:00.000,30.276813343884466,24942.85874569737,14862.858745697367,10080.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-06 01:36:00.000,29.677780921601688,25182.858745697416,15162.858745697415,10020.000000000002,0,4500.0,3669.2587456969954,4230,1410,1350.0,3.6000000000000028
2024-08-07 01:08:00.000,30.276813343884367,25002.858745697416,14862.858745697415,10140.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-08 00:42:00.000,30.276813343884367,25002.858745697416,14862.858745697415,10140.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-09 01:56:00.000,30.276813343884445,25002.85874569738,14862.858745697378,10140.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-10 01:30:00.000,30.276813343884374,24942.858745697416,14862.858745697413,10080.000000000004,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-11 01:04:00.000,30.276813343884367,24942.858745697416,14862.858745697415,10080.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-12 02:18:00.000,30.27681334388453,24942.85874569734,14862.858745697338,10080.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-13 01:52:00.000,29.974304536034346,25212.858745697384,15012.858745697384,10200.0,0,4500.0,3639.2587456969954,4140,1380,1350.0,3.6000000000000028
2024-08-14 01:24:00.000,30.276813343884367,25002.858745697416,14862.858745697415,10140.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-15 00:58:00.000,30.276813343884367,25002.858745697416,14862.858745697415,10140.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-16 02:12:00.000,30.276813343884502,25002.85874569735,14862.85874569735,10140.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-17 01:46:00.000,30.276813343884413,24942.8587456974,14862.858745697395,10080.000000000004,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-18 01:20:00.000,30.276813343884367,24942.858745697416,14862.858745697415,10080.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
2024-08-19 00:54:00.000,29.677780921601688,25182.858745697416,15162.858745697415,10020.000000000002,0,4500.0,3669.2587456969954,4230,1410,1350.0,3.6000000000000028
2024-08-20 02:08:00.000,30.27681334388449,24942.85874569736,14862.858745697356,10080.000000000002,0,4500.0,3609.2587456969954,4050,1350,1350.0,3.6000000000000028
